,Name,POS,PA,AB,H,2B,3B,HR,RBI,OBP,AVG,BABIP
0,Javier Molina,RF,72,64,27,8,1,0,8,0.486,0.422,0.529
1,Wayne Cooper,SP,4,4,1,0,0,0,2,0.25,0.25,0.5
2,Danny Hernandez,SP,5,5,2,0,0,0,1,0.4,0.4,0.5
3,Tyrell Thomas,SP,8,8,3,0,0,0,1,0.375,0.375,0.5
4,Ford Smallwood,1B,70,65,29,7,1,1,6,0.486,0.446,0.459
5,Tom Hines,1B,10,9,3,0,1,0,1,0.3,0.333,0.429
6,Domingo Rubio,C,19,19,4,0,0,0,3,0.211,0.211,0.4
7,Mark Battle,LF,30,29,9,1,0,2,7,0.333,0.31,0.35
8,Tom Mills,CF,57,53,13,2,1,0,2,0.298,0.245,0.333
9,Tom Naumann,2B,67,57,19,3,0,5,11,0.388,0.333,0.311
10,MARK ROGERS,LF,60,54,15,2,1,3,9,0.333,0.278,0.308
11,TOMMY JUSTICE,3B,70,63,16,4,0,2,8,0.329,0.254,0.286
12,Jason Tribble,2B,37,34,8,2,0,1,3,0.297,0.235,0.269
13,Cary Paradis,C,56,52,8,0,0,0,1,0.196,0.154,0.222
14,Daniel Cruz,SS,21,20,3,1,0,0,0,0.19,0.15,0.2
15,Justin Zoch,1B,14,11,3,0,0,2,2,0.429,0.273,0.143
16,Ivan Alvarado,RP,0,0,0,0,0,0,0,0.0,0.0,0.0
17,Javy Carrillo,RP,0,0,0,0,0,0,0,0.0,0.0,0.0
18,Danny Chappelle,SP,4,3,0,0,0,0,0,0.25,0.0,0.0
19,Rafael Cordova,CL,0,0,0,0,0,0,0,0.0,0.0,0.0
20,Jim Coughlin,RP,0,0,0,0,0,0,0,0.0,0.0,0.0
21,Jorge Escobedo,RP,0,0,0,0,0,0,0,0.0,0.0,0.0
22,Willie Jimenez,RP,0,0,0,0,0,0,0,0.0,0.0,0.0
23,Doug Lungren,SP,6,6,0,0,0,0,0,0.0,0.0,0.0
24,Mike Rakowsky,RP,0,0,0,0,0,0,0,0.0,0.0,0.0
25,Jason Vyhlidal,RP,0,0,0,0,0,0,0,0.0,0.0,0.0
