game_id,type,line,text
9,1,1,"Top of the 1st - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_2621.html\">Doug Lungren</a>"
9,2,2,"Pitching: RHP <a href=\"../players/player_2621.html\">Doug Lungren</a>"
9,2,3,"Batting: RHB <a href=\"../players/player_3620.html\">John Laessig</a>"
9,3,4,"0-0: Ball"
9,3,5,"1-0: Ground out 1-3 (Groundball, 15S, EV 73.8 MPH)"
9,2,6,"Batting: RHB <a href=\"../players/player_1428.html\">Steve White</a>"
9,3,7,"0-0: Ball"
9,3,8,"1-0: Called Strike"
9,3,9,"1-1: Ball"
9,3,10,"2-1: Ground out 3-1 (Groundball, 34, EV 91.9 MPH)"
9,2,11,"Batting: LHB <a href=\"../players/player_25.html\">John Kinney</a>"
9,3,12,"0-0:  Fly out, F8  (Line Drive, 8LM, EV 105.6 MPH)"
9,4,13,"Top of the 1st over - 0 runs, 0 hits, 0 errors, 0 left on base; Montreal 0 - Windsor 0"
9,1,14,"Bottom of the 1st - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,15,"Pitching: RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,16,"Batting: LHB <a href=\"../players/player_1493.html\">Mark Rogers</a>"
9,3,17,"0-0: Called Strike"
9,3,18,"0-1: Ground out 4-3 (Groundball, 4, EV 81.9 MPH)"
9,2,19,"Batting: LHB <a href=\"../players/player_1483.html\">Tom Naumann</a>"
9,3,20,"0-0: Ball"
9,3,21,"1-0: Called Strike"
9,3,22,"1-1: Swinging Strike"
9,3,23,"1-2: Foul Ball, location: 7LSF"
9,3,24,"1-2: Strikes out looking"
9,2,25,"Batting: LHB <a href=\"../players/player_73.html\">Ford Smallwood</a>"
9,3,26,"0-0: Foul Ball, location: 25FF"
9,3,27,"0-1: Ball"
9,3,28,"1-1: <b>SINGLE</b>  (Line Drive, 8LS, EV 91.9 MPH)"
9,2,29,"Batting: RHB <a href=\"../players/player_1484.html\">Tommy Justice</a>"
9,3,30,"0-0: Ball"
9,3,31,"1-0: Swinging Strike"
9,3,32,"1-1: Foul Ball, location: 9LSF"
9,3,33,"1-2: Ball"
9,3,34,"2-2: Foul Ball, location: 9LDF"
9,3,35,"2-2:  Fly out, F3  (Popup, 3F, EV 82.5 MPH)"
9,4,36,"Bottom of the 1st over - 0 runs, 1 hit, 0 errors, 1 left on base; Montreal 0 - Windsor 0"
9,1,37,"Top of the 2nd - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_2621.html\">Doug Lungren</a>"
9,2,38,"Batting: LHB <a href=\"../players/player_19.html\">Mike Sharp</a>"
9,3,39,"0-0: Swinging Strike"
9,3,40,"0-1: Foul Ball, location: 7LSF"
9,3,41,"0-2: Strikes out swinging"
9,2,42,"Batting: RHB <a href=\"../players/player_14.html\">Oscar Sandovar</a>"
9,3,43,"0-0: Ball"
9,3,44,"1-0: Foul Ball, location: 9LSF"
9,3,45,"1-1: Ball"
9,3,46,"2-1: Ball"
9,3,47,"3-1: Swinging Strike"
9,3,48,"3-2: Foul Ball, location: 5FF"
9,3,49,"3-2: Foul Ball, location: 2F"
9,3,50,"3-2: Base on Balls"
9,2,51,"Batting: LHB <a href=\"../players/player_1434.html\">Pedro Gonzales</a>"
9,3,52,"0-0: Swinging Strike"
9,3,53,"0-1: Ball"
9,3,54,"1-1:  <b>2-RUN HOME RUN</b>  (Line Drive, 78XD, EV 106.9 MPH), Distance : 413 ft"
9,2,55,"Batting: SHB <a href=\"../players/player_1435.html\">Jason Sandidge</a>"
9,3,56,"0-0: Ball"
9,3,57,"1-0: Called Strike"
9,3,58,"1-1:  Fly out, F9  (Flyball, 9S, EV 82.5 MPH)"
9,2,59,"Batting: LHB <a href=\"../players/player_20.html\">Brian Neville</a>"
9,3,60,"0-0: Ball"
9,3,61,"1-0:  <b>SOLO HOME RUN</b>  (Flyball, 8LXD, EV 109.4 MPH), Distance : 432 ft"
9,2,62,"Batting: RHB <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,3,63,"0-0: Called Strike"
9,3,64,"0-1: Ball"
9,3,65,"1-1: <b>SINGLE</b>  (Line Drive, 9S, EV 85.0 MPH)"
9,2,66,"Batting: RHB <a href=\"../players/player_3620.html\">John Laessig</a>"
9,3,67,"0-0: Fielders Choice at 2nd, 5-4 (Groundball, 56, EV 91.3 MPH)"
9,4,68,"Top of the 2nd over - 3 runs, 3 hits, 0 errors, 1 left on base; Montreal 3 - Windsor 0"
9,1,69,"Bottom of the 2nd - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,70,"Batting: SHB <a href=\"../players/player_1480.html\">Cary Paradis</a>"
9,3,71,"0-0:  Fly out, F8  (Flyball, 8RD, EV 103.1 MPH)"
9,2,72,"Batting: LHB <a href=\"../players/player_3265.html\">Javier Molina</a>"
9,3,73,"0-0: Ball"
9,3,74,"1-0: Ball"
9,3,75,"2-0: Called Strike"
9,3,76,"2-1: Called Strike"
9,3,77,"2-2:  Fly out, F8  (Flyball, 78M, EV 84.4 MPH)"
9,2,78,"Batting: RHB <a href=\"../players/player_1485.html\">Edgar Valdez</a>"
9,3,79,"0-0: Called Strike"
9,3,80,"0-1: Foul Ball, location: 2F"
9,3,81,"0-2: Ball"
9,3,82,"1-2: Strikes out swinging"
9,4,83,"Bottom of the 2nd over - 0 runs, 0 hits, 0 errors, 0 left on base; Montreal 3 - Windsor 0"
9,1,84,"Top of the 3rd - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_2621.html\">Doug Lungren</a>"
9,2,85,"Batting: RHB <a href=\"../players/player_1428.html\">Steve White</a>"
9,3,86,"0-0: Ball"
9,3,87,"1-0: Ground out 5-3 (Groundball, 56, EV 101.9 MPH)"
9,2,88,"Batting: LHB <a href=\"../players/player_25.html\">John Kinney</a>"
9,3,89,"0-0: Swinging Strike"
9,3,90,"0-1: Called Strike"
9,3,91,"0-2: Ground out U3 (Groundball, 3, EV 106.3 MPH)"
9,2,92,"Batting: LHB <a href=\"../players/player_19.html\">Mike Sharp</a>"
9,3,93,"0-0: <b>SINGLE</b>  (Groundball, 4MD, EV 98.8 MPH)"
9,2,94,"Batting: RHB <a href=\"../players/player_14.html\">Oscar Sandovar</a>"
9,3,95,"0-0: Ball"
9,3,96,"1-0: Foul Ball, location: 25F"
9,3,97,"1-1: Called Strike"
9,3,98,"1-2:  Fly out, F8  (Flyball, 8RD, EV 94.4 MPH)"
9,4,99,"Top of the 3rd over - 0 runs, 1 hit, 0 errors, 1 left on base; Montreal 3 - Windsor 0"
9,1,100,"Bottom of the 3rd - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,101,"Batting: RHB <a href=\"../players/player_3114.html\">Tom Mills</a>"
9,3,102,"0-0: Called Strike"
9,3,103,"0-1: Swinging Strike"
9,3,104,"0-2: Ball"
