player_id,team_id,league_id,position,role,bats,batting_ratings_overall_contact,batting_ratings_overall_gap,batting_ratings_overall_eye,batting_ratings_overall_strikeouts,batting_ratings_overall_hp,batting_ratings_overall_power,batting_ratings_overall_babip,batting_ratings_vsr_contact,batting_ratings_vsr_gap,batting_ratings_vsr_eye,batting_ratings_vsr_strikeouts,batting_ratings_vsr_hp,batting_ratings_vsr_power,batting_ratings_vsr_babip,batting_ratings_vsl_contact,batting_ratings_vsl_gap,batting_ratings_vsl_eye,batting_ratings_vsl_strikeouts,batting_ratings_vsl_hp,batting_ratings_vsl_power,batting_ratings_vsl_babip,batting_ratings_talent_contact,batting_ratings_talent_gap,batting_ratings_talent_eye,batting_ratings_talent_strikeouts,batting_ratings_talent_hp,batting_ratings_talent_power,batting_ratings_talent_babip,batting_ratings_misc_bunt,batting_ratings_misc_bunt_for_hit,batting_ratings_misc_gb_hitter_type,batting_ratings_misc_fb_hitter_type,running_ratings_speed,running_ratings_stealing_rate,running_ratings_stealing,running_ratings_baserunning
1,116,203,1,12,1,40,35,35,40,2,30,45,40,35,35,40,2,30,45,40,40,35,45,2,30,45,40,35,35,45,2,30,45,75,25,1,1,30,25,20,20
2,41,201,1,12,1,35,35,35,40,3,35,35,35,35,35,40,3,35,35,35,35,35,40,3,35,35,35,35,35,40,3,35,35,75,25,0,1,30,25,20,25
3,3,200,1,11,1,30,35,40,30,3,20,25,25,35,40,30,3,20,25,30,35,40,30,3,20,25,30,35,40,30,3,20,25,60,20,2,0,25,25,20,20
4,3,200,1,11,1,30,35,40,35,1,35,25,30,35,40,35,1,35,25,30,35,40,35,1,35,25,30,35,40,35,1,35,25,50,25,0,2,30,25,20,20
5,3,200,1,12,1,30,35,35,35,2,35,25,30,35,35,35,2,35,25,30,35,35,35,2,35,25,30,35,35,35,2,35,25,70,20,0,0,20,25,20,25
6,87,202,1,11,1,45,35,35,45,3,30,45,40,35,35,45,3,30,45,45,35,35,45,3,30,45,45,35,35,45,3,30,45,40,20,0,2,30,25,20,35
7,3,200,1,13,1,35,35,35,35,3,20,30,35,35,35,35,3,20,30,35,35,40,35,3,20,30,35,35,35,35,3,20,30,75,20,2,2,25,20,20,20
8,3,200,1,12,2,40,35,40,40,3,25,45,40,35,45,45,3,25,45,40,35,40,40,3,25,40,40,35,40,40,3,25,45,45,20,1,1,25,25,20,30
9,0,0,1,12,2,40,35,40,45,2,20,45,45,35,40,45,2,20,45,40,30,40,40,2,20,45,40,35,40,45,2,20,45,35,25,2,0,20,20,20,20
10,116,203,1,12,2,40,35,40,40,1,30,45,40,35,40,45,1,30,45,40,35,40,40,1,30,45,40,35,40,45,1,30,45,75,25,1,1,25,25,25,20
11,3,200,1,12,1,45,35,40,45,1,25,45,45,35,40,45,1,25,45,45,35,40,45,1,25,45,45,35,40,45,1,25,45,40,25,0,0,25,20,20,20
12,41,201,1,12,3,45,35,40,45,2,30,45,45,35,40,45,2,30,45,40,35,35,40,2,30,45,45,35,40,45,2,30,45,80,25,1,0,30,25,20,20
13,87,202,1,13,1,35,35,45,35,1,35,30,35,35,45,35,1,35,30,35,35,45,35,1,35,30,35,35,45,35,1,35,30,65,25,1,0,25,25,25,20
14,3,200,2,0,1,55,50,60,55,3,50,50,55,50,55,55,3,50,50,55,50,65,60,3,55,55,55,50,60,55,3,50,50,35,20,2,0,25,40,45,50
15,173,205,3,0,3,35,35,30,40,7,25,35,35,35,30,40,7,25,35,35,30,30,35,7,25,35,55,40,35,55,7,35,50,50,20,1,0,40,30,20,30
16,145,204,3,0,1,40,40,50,45,2,45,45,40,40,50,40,2,45,45,45,40,50,45,2,45,45,40,40,50,45,2,45,45,50,20,0,0,30,25,25,20
17,116,203,5,0,1,45,45,50,45,6,50,45,40,45,50,45,6,50,45,45,45,50,45,6,50,45,45,45,50,45,6,50,45,35,20,2,0,35,30,35,20
18,173,205,5,0,1,35,30,35,35,3,20,30,35,30,35,35,3,20,30,35,30,35,35,3,25,30,45,40,50,50,3,30,40,55,20,0,1,50,40,35,35
19,3,200,9,0,2,55,55,50,55,10,55,55,55,55,50,55,10,55,55,50,50,50,50,10,50,50,55,55,55,55,10,55,55,35,20,2,1,35,50,60,60
20,3,200,6,0,2,50,50,45,55,3,50,50,50,50,45,55,3,50,50,50,50,45,50,3,50,50,50,50,45,55,3,50,50,35,20,3,2,35,40,35,40
21,41,201,4,0,1,50,45,45,50,8,35,50,50,45,45,50,8,35,50,50,45,45,55,8,35,50,50,45,45,50,8,35,50,55,25,1,0,30,20,20,20
22,3,200,7,0,1,50,45,45,50,10,50,45,50,45,45,50,10,50,45,50,45,45,50,10,55,50,50,45,45,50,10,50,45,55,20,0,1,35,30,35,35
23,41,201,8,0,1,55,45,35,60,10,30,50,55,45,35,60,10,30,50,60,45,35,65,10,35,50,55,45,35,65,10,35,50,60,20,0,0,50,55,60,55
24,87,202,7,0,1,45,45,45,45,4,35,45,45,45,45,45,4,35,45,45,45,45,45,4,35,45,45,45,45,45,4,35,45,55,20,1,2,50,75,85,85
25,3,200,3,0,2,65,50,50,60,4,55,65,70,55,50,65,4,55,65,65,50,50,55,4,50,60,65,50,50,60,4,55,65,35,25,0,0,25,25,25,20
26,66,202,7,0,3,35,40,55,45,4,35,30,40,45,55,50,4,35,30,35,40,50,45,4,35,25,40,40,55,45,4,35,30,55,20,0,1,30,35,35,40
27,87,202,2,0,1,40,40,45,50,4,25,35,40,40,45,50,4,25,35,45,45,50,55,4,30,35,40,40,45,50,4,25,35,50,35,0,0,30,20,20,20
28,87,202,4,0,2,50,40,50,55,13,30,45,50,40,50,55,13,30,45,45,40,45,50,13,25,45,50,40,50,55,13,30,45,60,60,0,0,60,60,65,60
29,87,202,3,0,1,40,40,40,55,14,35,35,40,40,40,50,14,35,35,45,40,45,65,14,35,35,40,40,40,55,14,35,35,55,25,0,0,20,20,20,20
30,87,202,9,0,2,45,40,50,50,3,30,45,45,40,50,55,3,35,45,45,35,45,45,3,30,45,45,40,50,50,3,30,45,70,25,2,1,35,30,30,30
