player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
1,2024,116,203,4,0,1,1,0,1,0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.3584
2,2024,41,201,2,0,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
3,2024,3,200,1,0,1,2,0,2,0,16,3,3,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2700,0.0000,0.1880
4,2024,3,200,1,0,1,0,0,0,0,27,4,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.3100
5,2024,3,200,1,0,1,1,0,1,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0576
6,2024,87,202,3,0,1,1,0,1,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.1092
7,2024,3,200,1,0,1,0,0,0,0,7,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1350,0.0000,-0.0000
8,2024,3,200,1,0,1,0,0,0,0,7,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4050,0.0000,0.3705
10,2024,116,203,4,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
11,2024,3,200,1,0,1,0,0,0,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1350,0.0000,-0.2020
12,2024,41,201,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
13,2024,87,202,3,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
14,2024,3,200,1,0,2,120,10,110,49,117,13,13,0,1,0,1,11,2,2,7,6,0,7,7,0,0,3,3,0,0,1,0,0,0,0.0000,0.0000,0.3998
19,2024,3,200,1,0,3,36,1,35,0,34,5,4,0,1,0,0,0,0,0,2,2,0,5,5,1,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0944
