player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
1,2024,116,0,203,4,1,4,11,0,0,2,14,0,2,0,0,2,7,56,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2458,15.3000,0,12,1,0,0.0468,0.2670
1,2024,116,0,203,4,3,2,6,0,0,1,8,0,1,0,0,1,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0000,8.0000,0,7,0,0,0.0000,0.0000
1,2024,116,0,203,4,2,1,5,0,0,1,6,0,1,0,0,1,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0000,7.3000,0,5,0,0,0.0000,0.0000
2,2024,41,0,201,2,1,5,22,0,7,6,24,0,2,3,3,3,6,85,0,2,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0.0106,5.3000,0,15,0,0,0.0066,-0.0447
2,2024,41,0,201,2,3,3,15,0,4,4,16,0,1,2,2,2,5,0,2,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0.0000,3.7000,0,11,0,0,0.0000,0.0000
2,2024,41,0,201,2,2,1,7,0,3,2,8,0,1,1,1,1,1,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0000,1.6000,0,4,0,0,0.0000,0.0000
3,2024,3,0,200,1,1,16,65,0,19,14,73,9,8,13,11,14,17,276,0,3,3,1,1,0,13,3,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,-0.5371,82.6000,0,48,0,0,0.2141,-0.2448
3,2024,3,0,200,1,3,10,41,0,11,9,46,2,5,7,5,9,11,0,2,3,3,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0000,49.2000,0,32,0,0,0.0000,0.0000
3,2024,3,0,200,1,2,5,24,0,8,5,27,7,3,6,6,5,6,0,1,3,3,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,33.4000,0,16,0,0,0.0000,0.0000
4,2024,3,0,200,1,1,27,105,0,30,23,112,10,6,14,14,22,31,384,0,4,4,1,2,0,21,4,0,1,2,3,0,0,0,2,0,0,3,2,0,0,0,0,0,1,1,0,0,0,-0.4684,114.1000,0,81,0,0,0.6911,0.3032
4,2024,3,0,200,1,2,9,44,0,17,10,45,8,1,6,6,10,7,0,0,4,4,0,0,0,12,2,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,49.1000,0,27,0,0,0.0000,0.0000
4,2024,3,0,200,1,3,18,61,0,13,13,67,2,5,8,8,12,24,0,0,4,4,0,0,0,9,2,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0000,65.0000,0,54,0,0,0.0000,0.0000
5,2024,3,0,200,1,1,6,23,0,5,5,26,0,3,0,0,7,6,112,1,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0.0777,12.2000,0,19,1,0,0.1402,0.3736
5,2024,3,0,200,1,3,4,15,0,2,3,18,0,3,0,0,5,5,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0.0000,6.7000,0,14,0,0,0.0000,0.0000
5,2024,3,0,200,1,2,1,8,0,3,2,8,0,0,0,0,2,1,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0000,5.5000,0,5,0,0,0.0000,0.0000
6,2024,87,0,202,3,1,6,24,0,6,6,26,0,2,4,4,6,6,101,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0686,22.2000,0,18,0,0,0.2109,-0.0909
6,2024,87,0,202,3,3,5,18,0,3,5,19,0,1,2,2,5,5,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0000,16.5000,0,15,0,0,0.0000,0.0000
6,2024,87,0,202,3,2,1,6,0,3,1,7,0,1,2,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0000,5.7000,0,3,0,0,0.0000,0.0000
7,2024,3,0,200,1,1,7,28,0,6,8,29,0,1,2,2,8,6,104,1,6,0,1,1,3,3,2,0,0,0,1,0,0,0,0,0,5,0,0,3,0,6,0,0,0,0,0,2,1,0.2736,51.2000,0,22,3,1,0.2025,0.2734
7,2024,3,0,200,1,2,3,15,0,5,3,16,0,1,2,2,3,4,0,1,5,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0000,27.3000,0,10,0,0,0.0000,0.0000
7,2024,3,0,200,1,3,4,13,0,1,5,13,0,0,0,0,5,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0.0000,23.9000,0,12,0,0,0.0000,0.0000
8,2024,3,0,200,1,1,7,24,0,4,5,26,0,1,1,1,10,5,89,0,7,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,7,0,0,0,1,2,2,0,0.3086,31.3000,0,21,3,0,0.0343,0.3150
8,2024,3,0,200,1,3,6,21,0,2,5,23,0,1,1,1,9,5,0,1,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0.0000,28.6000,0,19,0,0,0.0000,0.0000
8,2024,3,0,200,1,2,0,3,0,2,0,3,0,0,0,0,1,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0000,2.7000,0,2,0,0,0.0000,0.0000
10,2024,116,0,203,4,1,2,10,0,5,4,12,0,2,3,3,1,0,61,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,1,1,-0.8795,35.5000,0,6,0,2,-0.1913,-0.4002
10,2024,116,0,203,4,2,0,2,0,1,1,3,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0.0000,4.4000,0,1,0,0,0.0000,0.0000
10,2024,116,0,203,4,3,1,8,0,4,3,9,0,1,3,3,1,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0.0000,31.1000,0,5,0,0,0.0000,0.0000
