player_id,team_id,league_id,position,role,fielding_ratings_infield_range,fielding_ratings_infield_arm,fielding_ratings_turn_doubleplay,fielding_ratings_outfield_range,fielding_ratings_outfield_arm,fielding_ratings_catcher_arm,fielding_ratings_catcher_ability,fielding_ratings_catcher_framing,fielding_ratings_infield_error,fielding_ratings_outfield_error,fielding_experience0,fielding_experience1,fielding_experience2,fielding_experience3,fielding_experience4,fielding_experience5,fielding_experience6,fielding_experience7,fielding_experience8,fielding_experience9,fielding_rating_pos1,fielding_rating_pos2,fielding_rating_pos3,fielding_rating_pos4,fielding_rating_pos5,fielding_rating_pos6,fielding_rating_pos7,fielding_rating_pos8,fielding_rating_pos9,fielding_rating_pos1_pot,fielding_rating_pos2_pot,fielding_rating_pos3_pot,fielding_rating_pos4_pot,fielding_rating_pos5_pot,fielding_rating_pos6_pot,fielding_rating_pos7_pot,fielding_rating_pos8_pot,fielding_rating_pos9_pot
1,116,203,1,12,35,60,50,35,40,20,20,20,30,35,0,200,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,60,0,45,0,25,0,30,0,25
2,41,201,1,12,35,45,25,35,25,20,20,25,25,35,0,200,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,45,0,40,0,0,0,30,0,0
3,3,200,1,11,40,35,30,40,30,25,20,20,20,40,0,200,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,50,0,0,0,35,0,20
4,3,200,1,11,40,60,30,30,55,25,20,20,30,35,0,200,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,65,0,50,0,35,0,20,0,0
5,3,200,1,12,35,55,30,20,40,20,20,20,30,40,0,200,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,55,0,45,0,25,0,0,0,0
6,87,202,1,11,30,50,35,35,35,25,20,20,35,35,0,200,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,55,0,50,20,25,0,30,0,20
7,3,200,1,13,40,45,25,30,35,20,20,20,40,30,0,200,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,65,0,50,20,30,0,0,0,0
8,3,200,1,12,30,50,20,45,25,20,20,20,30,35,0,200,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,45,0,0,0,35,0,20
9,0,0,1,12,35,55,30,35,30,20,20,20,40,35,0,200,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,60,0,55,0,30,0,30,0,20
10,116,203,1,12,30,50,20,30,45,20,20,20,35,30,0,200,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,40,0,0,0,20,0,0
11,3,200,1,12,35,55,55,35,35,20,20,20,30,30,0,200,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,60,0,45,20,30,0,30,0,0
12,41,201,1,12,30,50,20,25,25,20,20,20,30,25,0,200,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,40,0,0,0,0,0,0
13,87,202,1,13,30,50,25,35,35,20,20,20,30,35,0,200,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,45,0,40,0,0,0,30,0,20
14,3,200,2,0,30,45,25,20,45,55,55,55,25,45,0,0,200,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,40,55,35,0,0,0,0,0,0
15,173,205,3,0,30,40,25,25,55,60,70,65,40,35,0,0,160,28,0,0,0,0,0,0,0,55,20,0,0,0,0,0,0,50,65,40,0,0,0,0,0,0
