player_id,team_id,league_id,position,role,pitching_ratings_overall_stuff,pitching_ratings_overall_movement,pitching_ratings_overall_hra,pitching_ratings_overall_pbabip,pitching_ratings_overall_control,pitching_ratings_overall_balk,pitching_ratings_overall_hp,pitching_ratings_overall_wild_pitch,pitching_ratings_vsr_stuff,pitching_ratings_vsr_movement,pitching_ratings_vsr_hra,pitching_ratings_vsr_pbabip,pitching_ratings_vsr_control,pitching_ratings_vsr_balk,pitching_ratings_vsr_hp,pitching_ratings_vsr_wild_pitch,pitching_ratings_vsl_stuff,pitching_ratings_vsl_movement,pitching_ratings_vsl_hra,pitching_ratings_vsl_pbabip,pitching_ratings_vsl_control,pitching_ratings_vsl_balk,pitching_ratings_vsl_hp,pitching_ratings_vsl_wild_pitch,pitching_ratings_talent_stuff,pitching_ratings_talent_movement,pitching_ratings_talent_hra,pitching_ratings_talent_pbabip,pitching_ratings_talent_control,pitching_ratings_talent_balk,pitching_ratings_talent_hp,pitching_ratings_talent_wild_pitch,pitching_ratings_pitches_fastball,pitching_ratings_pitches_slider,pitching_ratings_pitches_curveball,pitching_ratings_pitches_screwball,pitching_ratings_pitches_forkball,pitching_ratings_pitches_changeup,pitching_ratings_pitches_sinker,pitching_ratings_pitches_splitter,pitching_ratings_pitches_knuckleball,pitching_ratings_pitches_cutter,pitching_ratings_pitches_circlechange,pitching_ratings_pitches_knucklecurve,pitching_ratings_pitches_talent_fastball,pitching_ratings_pitches_talent_slider,pitching_ratings_pitches_talent_curveball,pitching_ratings_pitches_talent_screwball,pitching_ratings_pitches_talent_forkball,pitching_ratings_pitches_talent_changeup,pitching_ratings_pitches_talent_sinker,pitching_ratings_pitches_talent_splitter,pitching_ratings_pitches_talent_knuckleball,pitching_ratings_pitches_talent_cutter,pitching_ratings_pitches_talent_circlechange,pitching_ratings_pitches_talent_knucklecurve,pitching_ratings_misc_velocity,pitching_ratings_misc_arm_slot,pitching_ratings_misc_stamina,pitching_ratings_misc_ground_fly,pitching_ratings_misc_hold
1,116,203,1,12,35,45,50,45,45,0,13,4,35,45,50,45,45,0,13,4,35,45,50,45,45,0,13,4,35,45,50,45,45,0,13,4,40,0,0,0,0,40,0,0,0,40,0,0,40,0,0,0,0,40,0,0,0,40,0,0,9,3,60,48,55
2,41,201,1,12,55,45,40,50,45,0,7,3,55,45,40,50,45,0,7,3,55,45,40,50,45,0,7,3,55,45,40,50,45,0,7,3,60,35,0,0,0,55,0,0,0,55,0,0,60,35,0,0,0,55,0,0,0,55,0,0,12,3,65,43,25
3,3,200,1,11,50,50,55,50,50,0,8,2,50,55,55,50,50,0,8,2,45,50,50,45,50,0,8,2,50,50,55,50,50,0,8,2,45,55,0,0,0,0,55,0,0,0,0,0,45,55,0,0,0,0,55,0,0,0,0,0,10,3,60,51,50
4,3,200,1,11,50,55,55,50,55,1,6,5,50,55,55,50,55,1,6,5,50,50,55,50,55,1,6,5,50,55,55,50,55,1,5,5,50,55,60,0,0,60,0,0,0,0,0,0,50,55,60,0,0,60,0,0,0,0,0,0,12,3,65,53,65
5,3,200,1,12,75,40,35,55,50,0,7,3,75,40,35,55,50,0,7,3,75,40,35,55,50,0,7,3,75,40,35,55,50,0,7,3,75,0,0,70,0,55,75,0,0,0,0,0,75,0,0,70,0,55,75,0,0,0,0,0,16,3,65,45,30
6,87,202,1,11,40,40,35,45,50,1,5,2,40,40,35,45,50,1,5,2,40,35,35,45,50,1,5,2,40,40,35,45,50,1,5,2,45,45,0,0,0,0,50,0,0,0,0,0,45,45,0,0,0,0,50,0,0,0,0,0,7,3,45,48,45
7,3,200,1,13,70,60,70,55,55,2,4,3,75,65,70,55,55,2,4,3,60,55,65,50,55,2,4,3,70,60,70,55,55,2,4,3,75,75,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,16,3,35,63,40
8,3,200,1,12,55,50,55,50,50,0,5,3,50,50,55,50,50,0,5,3,60,55,60,50,50,0,5,3,55,50,55,50,50,0,5,3,55,0,0,0,0,0,0,60,0,60,0,0,55,0,0,0,0,0,0,65,0,60,0,0,12,2,30,54,75
9,0,0,1,12,30,45,45,45,30,2,5,3,35,45,45,45,30,2,5,3,30,45,45,45,30,2,5,3,30,45,45,45,30,2,5,3,40,40,0,0,0,40,0,0,0,40,0,0,40,40,0,0,0,40,0,0,0,40,0,0,9,3,30,43,45
10,116,203,1,12,50,40,35,50,50,0,5,3,55,40,35,50,50,0,5,3,50,40,35,50,50,0,5,3,55,40,35,50,50,0,5,3,60,0,65,0,0,0,0,0,0,0,0,0,60,0,70,0,0,0,0,0,0,0,0,0,14,3,30,50,70
11,3,200,1,12,55,50,50,45,50,0,8,2,65,50,55,50,50,0,8,2,50,45,45,45,50,0,8,2,55,50,50,45,50,0,8,2,60,60,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,13,2,35,55,40
12,41,201,1,12,50,50,50,45,35,0,5,5,55,50,55,50,40,0,5,5,45,45,45,45,35,0,5,5,50,50,50,45,35,0,5,5,55,55,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,14,2,35,47,60
13,87,202,1,13,35,60,65,50,45,1,5,4,35,60,65,50,45,1,5,4,35,55,65,50,45,1,5,4,35,60,65,50,45,1,5,4,35,0,0,0,0,45,40,0,0,40,0,0,35,0,0,0,0,45,40,0,0,40,0,0,7,3,30,57,65
14,3,200,2,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,53,20
15,173,205,3,0,20,30,25,35,0,30,15,15,20,30,25,35,20,30,15,15,20,30,25,35,0,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,56,20
16,145,204,3,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,55,20
17,116,203,5,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,20,55,20
18,173,205,5,0,20,30,25,35,0,30,15,15,20,30,25,35,20,30,15,15,20,30,25,35,0,30,15,15,20,30,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,46,20
19,3,200,9,0,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,48,20
20,3,200,6,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,45,20
21,41,201,4,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,50,20
22,3,200,7,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,58,20
23,41,201,8,0,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,39,20
24,87,202,7,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,20,42,20
25,3,200,3,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,20,47,20
26,66,202,7,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,50,20
27,87,202,2,0,20,35,30,40,20,30,15,15,20,35,30,40,20,30,15,15,20,35,30,40,20,30,15,15,20,35,30,40,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,20,37,20
28,87,202,4,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,38,20
