player_id,team_id,league_id,position,role,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,options_used,options_used_this_year,has_received_arbitration,was_traded,trade_status
1,116,203,1,12,0,0,0,0,0,0,0,0,0,0,3,4,5,541,701,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
2,41,201,1,12,0,0,0,0,0,0,0,0,0,0,13,14,15,2240,2517,26,0,0,26,0,4,0,0,1,27,0,0,0,3,0,0,0,0
3,3,200,1,11,0,1,1,0,0,0,0,0,0,0,5,7,8,912,1212,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
4,3,200,1,11,0,1,1,0,0,0,0,0,0,0,4,4,7,763,763,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
5,3,200,1,12,0,1,1,0,0,0,0,0,0,0,16,18,18,2794,3104,26,26,26,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
6,87,202,1,11,0,0,0,0,0,0,0,0,0,0,12,13,14,2090,2295,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
7,3,200,1,13,0,1,1,0,0,0,0,0,0,0,2,2,3,402,496,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
8,3,200,1,12,0,1,1,0,0,0,0,0,0,0,4,6,6,746,1045,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
9,0,0,1,12,0,0,0,0,0,0,0,0,0,0,9,9,11,1554,1707,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
10,116,203,1,12,0,0,0,0,0,0,0,0,0,0,3,5,5,541,887,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
11,3,200,1,12,0,1,1,0,0,0,0,0,0,0,14,14,15,2479,2499,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
12,41,201,1,12,0,0,0,0,0,0,0,0,0,0,9,10,11,1571,1871,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
13,87,202,1,13,0,0,0,0,0,0,0,0,0,0,6,7,8,1051,1344,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
14,3,200,2,0,0,1,1,0,0,0,0,0,0,0,14,14,16,2470,2470,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
15,173,205,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,49,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
16,145,204,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,199,206,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
17,116,203,5,0,0,0,0,0,0,0,0,0,0,0,1,1,3,184,189,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
18,173,205,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,26,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0
19,3,200,9,0,0,1,1,0,0,0,0,0,0,0,9,9,11,1604,1604,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
20,3,200,6,0,0,1,1,0,0,0,0,0,0,0,1,1,3,247,269,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
21,41,201,4,0,0,0,0,0,0,0,0,0,0,0,12,12,14,2069,2110,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
22,3,200,7,0,0,1,1,0,0,0,0,0,0,0,8,10,12,1403,1750,26,26,26,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
