team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2024,200,1,1,547,142,596,225,138,119,47,39,53,50,144,150,2227,0,16,16,10,6,4,91,26,3,5,2,19,0,0,4,1,2,16,7,10,6,2,42,0,1,25,4,4,11.3451,0.2523,0.3019,0.4113,0.7132,8.7465,7.5423,1.2042,2.4718,0.0000,3.7701,0.6250,0.6250,2.9375,0.6667,0.3333,0.3810,3.1690,139.1875,0.0000,1.2465,0.4898,3.0513,0.2874
2,2024,200,1,1,510,131,566,259,144,90,31,39,87,84,152,130,2049,0,15,15,4,11,3,89,24,9,4,2,29,1,0,1,5,4,15,14,2,4,1,45,0,0,8,5,6,12.8473,0.2824,0.3357,0.5078,0.8436,9.8931,6.1832,1.9924,2.6794,0.0000,5.3907,0.1333,0.2667,2.0667,0.7500,0.2500,0.3333,5.7710,136.6000,0.0000,1.3969,0.5390,2.3077,0.2911
3,2024,200,1,1,548,142,604,249,143,125,28,42,74,71,139,147,2216,2,16,16,5,11,5,93,19,4,4,6,25,0,0,2,5,6,16,11,6,5,0,45,0,0,10,3,3,12.0491,0.2609,0.3183,0.4544,0.7727,9.0210,7.8855,1.5771,2.6495,0.0000,4.4180,0.3750,0.3125,1.7500,1.0000,0.0000,0.3556,4.4790,138.5000,0.0000,1.2967,0.4860,2.9762,0.2935
4,2024,200,1,1,595,148,668,289,169,106,41,63,81,78,158,163,2486,0,16,16,10,6,6,118,16,3,2,1,34,0,0,4,2,5,16,14,7,11,5,52,0,0,9,1,9,14.4122,0.2840,0.3564,0.4857,0.8421,10.2770,6.4459,2.0676,3.8311,0.0000,5.7764,0.4375,0.6250,2.5625,0.5455,0.4545,0.3077,4.7432,155.3750,0.0000,1.5676,0.4922,1.6825,0.2954
5,2024,200,1,1,526,133,569,251,137,105,46,37,70,69,140,137,2130,2,15,15,8,7,5,85,21,3,0,0,31,0,0,1,6,3,15,11,5,6,1,46,0,1,10,3,7,11.9177,0.2605,0.3127,0.4772,0.7899,9.2244,7.0698,2.0873,2.4913,0.0000,5.2442,0.3333,0.5333,3.0667,0.8333,0.1667,0.3261,4.6459,142.0000,0.0000,1.3017,0.5054,2.8378,0.2718
6,2024,200,1,1,536,145,601,194,119,113,52,58,45,43,151,153,2170,0,16,16,11,5,6,80,20,4,1,2,17,0,0,4,6,2,15,14,14,7,1,35,1,3,8,2,8,11.1103,0.2220,0.2998,0.3619,0.6618,7.3862,7.0138,1.0552,3.6000,0.0625,4.0492,0.8750,0.6875,3.2500,0.8571,0.1429,0.4286,2.6690,135.6250,0.0000,1.2207,0.4967,1.9483,0.2506
7,2024,200,1,1,517,140,594,175,121,120,31,63,43,43,138,146,2220,1,15,15,10,5,7,87,23,5,5,2,9,1,0,13,2,4,15,10,8,10,3,48,0,1,7,5,15,12.0570,0.2340,0.3192,0.3385,0.6577,7.7601,7.6960,0.5772,4.0404,0.0000,3.2029,0.5333,0.6667,2.0667,0.7000,0.3000,0.3125,2.7577,148.0000,0.0000,1.3112,0.4859,1.9048,0.2850
8,2024,200,1,1,535,144,598,195,126,121,82,49,61,57,157,133,2178,2,16,16,11,5,7,87,23,5,2,2,14,0,0,3,0,7,16,14,10,10,3,34,0,0,12,8,4,11.3226,0.2355,0.3069,0.3645,0.6714,7.8387,7.5276,0.8710,3.0484,0.0000,3.6094,0.6250,0.6875,5.1250,0.7000,0.3000,0.4706,3.5461,136.1250,0.0000,1.2097,0.5414,2.4694,0.2786
9,2024,200,1,1,532,141,582,226,132,112,61,39,54,51,144,148,2185,0,16,16,11,5,6,85,22,7,2,3,22,0,0,0,5,2,16,11,8,7,1,38,0,1,8,3,10,11.0426,0.2481,0.3009,0.4248,0.7257,8.4255,7.1489,1.4043,2.4894,0.0000,4.2371,0.5000,0.6875,3.8125,0.8571,0.1429,0.4211,3.2553,136.5625,0.0000,1.2128,0.4932,2.8718,0.2750
10,2024,200,1,1,522,137,567,209,131,116,32,31,56,53,140,140,2014,0,16,16,6,10,3,86,28,4,4,1,16,0,0,3,4,6,15,6,6,3,0,32,1,1,10,3,3,11.0365,0.2510,0.2984,0.4004,0.6988,8.6058,7.6204,1.0511,2.0365,0.0625,3.4944,0.3750,0.3750,2.0000,1.0000,0.0000,0.4688,3.4818,125.8750,0.0000,1.1825,0.5000,3.7419,0.2919
