team_id,g,w,l,t,pos,pct,gb,streak,magic_number
1,16,10,6,0,4,0.6250,1.0000,-3,1000
2,15,4,11,0,5,0.2670,6.5000,-7,1000
3,16,5,11,0,5,0.3130,4.0000,2,1000
4,16,10,6,0,2,0.6250,1.0000,3,1000
5,15,8,7,0,3,0.5330,2.5000,5,1000
6,16,11,5,0,1,0.6880,0.0000,-3,147
7,15,10,5,0,3,0.6670,0.5000,-1,1000
8,16,11,5,0,1,0.6880,0.0000,1,146
9,16,11,5,0,2,0.6880,0.0000,3,147
10,16,6,10,0,4,0.3750,3.0000,1,1000
11,16,7,9,0,2,0.4380,2.0000,-2,1000
12,16,7,9,0,4,0.4380,4.0000,2,1000
13,15,6,9,0,3,0.4000,2.5000,3,1000
14,17,10,7,0,5,0.5880,1.5000,4,1000
15,16,9,7,0,1,0.5630,0.0000,-2,145
16,15,5,10,0,3,0.3330,2.5000,-4,1000
17,18,11,7,0,2,0.6110,1.0000,-1,1000
18,16,6,10,0,4,0.3750,4.5000,1,1000
19,16,5,11,0,5,0.3130,3.0000,-4,1000
20,16,10,6,0,2,0.6250,0.5000,4,1000
21,16,8,8,0,2,0.5000,0.0000,1,147
22,16,5,11,0,5,0.3130,6.0000,-2,1000
23,16,9,7,0,3,0.5630,1.5000,-1,1000
24,16,7,9,0,4,0.4380,4.0000,-1,1000
25,16,8,8,0,1,0.5000,0.0000,-1,147
26,16,8,8,0,3,0.5000,3.0000,2,1000
27,15,5,10,0,5,0.3330,5.0000,-3,1000
28,16,5,11,0,4,0.3130,3.0000,-7,1000
29,18,12,6,0,1,0.6670,0.0000,1,144
30,15,10,5,0,1,0.6670,0.0000,3,147
31,9,5,4,0,3,0.5560,1.0000,-3,1000
32,9,6,3,0,2,0.6670,0.0000,1,136
33,9,3,6,0,4,0.3330,3.0000,-3,1000
34,9,6,3,0,1,0.6670,0.0000,3,135
35,9,5,4,0,3,0.5560,1.0000,-2,1000
36,10,6,4,0,2,0.6000,0.5000,1,1000
37,9,2,7,0,5,0.2220,4.0000,-7,1000
38,9,3,6,0,5,0.3330,3.0000,1,1000
39,9,4,5,0,2,0.4440,2.0000,3,1000
40,9,6,3,0,1,0.6670,0.0000,2,136
41,9,3,6,0,5,0.3330,3.0000,-1,1000
42,9,3,6,0,4,0.3330,3.0000,-1,1000
43,9,4,5,0,3,0.4440,2.0000,-1,1000
44,9,6,3,0,1,0.6670,0.0000,1,134
45,10,5,5,0,4,0.5000,1.5000,-1,1000
